SMILES,CAS,logP
[H]OC1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])=C4C([H])([H])C(=O)C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H],58-22-0,3.32
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
CC12CCC3C(CC=C4CC(=O)CCC34C)C1CCC2O,58-22-0,3.32
[H]OC1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H],58-22-0,3.32
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,58-22-0,3.32
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O,58-22-0,3.32
[H]OC1=C([H])C2=C([H])C([H])([H])C3([H])C4([H])C([H])([H])C([H])([H])C([H])(O[H])C4(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C2(C([H])([H])[H])C([H])([H])C1([H])[H],58-22-0,3.32
C[C@]12CC[C@H]3[C@@H](CC=C4C=C(O)CC[C@]34C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
CC12CCC3C(CC=C4C=C(O)CCC34C)C1CCC2O,58-22-0,3.32
[H]OC1=C([H])C([H])([H])C2(C(=C([H])C([H])([H])C3([H])C4([H])C([H])([H])C([H])([H])C([H])(O[H])C4(C([H])([H])[H])C([H])([H])C([H])([H])C23[H])C1([H])[H])C([H])([H])[H],58-22-0,3.32
C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)=CC[C@]34C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
CC12CCC3C(CC=C4CC(O)=CCC34C)C1CCC2O,58-22-0,3.32
[H]OC1=C([H])C([H])([H])C2(C(=C1[H])C([H])([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C([H])([H])C([H])([H])C21[H])C([H])([H])[H],58-22-0,3.32
C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC[C@]34C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
CC12CCC3C(CCC4=CC(O)=CCC34C)C1CCC2O,58-22-0,3.32
c1ccc2Sc3ccccc3N(CC(N(C)C)CN(C)C)c2c1,NOCAS_861592,4.76
[H]C1=C([H])C([H])=C2N(C3=C([H])C([H])=C([H])C([H])=C3SC2=C1[H])C([H])([H])C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],NOCAS_861592,4.76
CN(C)CC(CN1c2ccccc2Sc2ccccc12)N(C)C,NOCAS_861592,4.76
CN(C)CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,NOCAS_861592,4.76
Cn1c(=O)c2[nH]cnc2n(C)c1=O,58-55-9,-0.03
[H]N1C([H])=NC2=C1C(=O)N(C(=O)N2C([H])([H])[H])C([H])([H])[H],58-55-9,-0.03
CN1C(=O)c2[nH]c[n]c2N(C)C1=O,58-55-9,-0.03
CN1C2=C(NC=N2)C(=O)N(C)C1=O,58-55-9,-0.03
[H]N1C([H])=NC2=C1N(C(=O)N(C2=O)C([H])([H])[H])C([H])([H])[H],58-55-9,-0.03
CN1C2=C(N=CN2)C(=O)N(C)C1=O,58-55-9,-0.03
[H]OC1=C2N=C([H])N=C2N(C(=O)N1C([H])([H])[H])C([H])([H])[H],58-55-9,-0.03
CN1C2=NC=NC2=C(O)N(C)C1=O,58-55-9,-0.03
COC1=CC=CC(OC)=C1C(O)=N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,61-32-5,1.22
[H]OC(O[H])=C1N2C(O[H])=C(N=C(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(O[H])=C(N([H])C(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C([H])(O[H])C(=NC(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2[C@@H]1SC(C)(C)C2=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(SC1(C([H])([H])[H])C([H])([H])[H])=C(N=C(O[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1OC([H])([H])[H])C2([H])O[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)C(N2C1O)=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(SC1(C([H])([H])[H])C([H])([H])[H])=C(N([H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1OC([H])([H])[H])C2([H])O[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)C(N2C1O)=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(=O)C([H])(N=C(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(=O)C(=NC([H])(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)N=C1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,61-32-5,1.22
[H]OC(O[H])=C1N2C(=O)C([H])(N([H])C(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)=C(O)O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)=C(O)O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(=O)C([H])(N=C(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(=O)C(=NC([H])(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)N=C1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(O[H])=C(N=C(O[H])C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(=O)C([H])(N([H])C(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
CC1(C)S[C@@H]2[C@H](NC(=O)c3c(cccc3OC)OC)C(=O)N2[C@H]1C(=O)O,61-32-5,1.22
CC1(C)S[C@@H]2[C@H](NC(=O)c3c(cccc3OC)OC)C(=O)N2[C@H]1C(O)=O,61-32-5,1.22
CC1(C)SC2C(NC(=O)c3c(cccc3OC)OC)C(=O)N2C1C(O)=O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(O[H])=C(N([H])C(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C(O)N2C1SC(C)(C)C2C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(SC1(C([H])([H])[H])C([H])([H])[H])=C(N=C(O[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1OC([H])([H])[H])C2([H])O[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)[C@@H](N2C1O)C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C([H])(O[H])C(=NC(=O)C3=C(OC([H])([H])[H])C([H])=C([H])C([H])=C3OC([H])([H])[H])C2([H])SC1(C([H])([H])[H])C([H])([H])[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O,61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2C1SC(C)(C)C2C(O)=O,61-32-5,1.22
[H]OC(=O)C1([H])N2C(SC1(C([H])([H])[H])C([H])([H])[H])=C(N([H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1OC([H])([H])[H])C2([H])O[H],61-32-5,1.22
COC1=CC=CC(OC)=C1C(=O)NC1=C2SC(C)(C)[C@@H](N2C1O)C(O)=O,61-32-5,1.22
NC1=CC=C(C=C1)C(O)N=CC(O)=O,61-78-9,-0.89
[H]OC(O[H])=C=NC([H])(O[H])C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(O)N=C=C(O)O,61-78-9,-0.89
[H]OC(O[H])=C([H])N=C(O[H])C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(O)=NC=C(O)O,61-78-9,-0.89
[H]OC(=O)C([H])([H])N=C(O[H])C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(O)=NCC(O)=O,61-78-9,-0.89
[H]OC(O[H])=C([H])N([H])C(=O)C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(=O)NC=C(O)O,61-78-9,-0.89
[H]OC(=O)C([H])([H])N([H])C(=O)C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(=O)NCC(O)=O,61-78-9,-0.89
Nc1ccc(cc1)C(=O)NCC(=O)O,61-78-9,-0.89
Nc1ccc(cc1)C(=O)NCC(O)=O,61-78-9,-0.89
[H]OC(=O)C([H])=NC([H])(O[H])C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
[H]OC([H])(O[H])C([H])=NC(=O)C1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],61-78-9,-0.89
NC1=CC=C(C=C1)C(=O)N=CC(O)O,61-78-9,-0.89
OC(=O)c1ccc(cc1)[N+]([O-])=O,62-23-7,1.89
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])[N+]([O-])=O,62-23-7,1.89
[O-][N+](=O)c1ccc(cc1)C(=O)O,62-23-7,1.89
[O-][N+](=O)c1ccc(cc1)C(O)=O,62-23-7,1.89
OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,62-23-7,1.89
CC(N)=S,62-55-5,-0.26
[H]SC(N([H])[H])=C([H])[H],62-55-5,-0.26
NC(S)=C,62-55-5,-0.26
[H]N([H])C(=S)C([H])([H])[H],62-55-5,-0.26
CC(=S)N,62-55-5,-0.26
[H]SC(=N[H])C([H])([H])[H],62-55-5,-0.26
CC(S)=N,62-55-5,-0.26
CN1CC(=CCC1)C(=O)OC,63-75-2,0.35
[H]C1=C(C(=O)OC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],63-75-2,0.35
COC(=O)C1=CCCN(C)C1,63-75-2,0.35
CCOS(=O)(=O)OCC,64-67-5,1.14
[H]C([H])([H])C([H])([H])OS(=O)(=O)OC([H])([H])C([H])([H])[H],64-67-5,1.14
CC(C)O,67-63-0,0.05
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],67-63-0,0.05
CC(O)=C,67-64-1,-0.24
[H]OC(=C([H])[H])C([H])([H])[H],67-64-1,-0.24
[H]C([H])([H])C(=O)C([H])([H])[H],67-64-1,-0.24
CC(=O)C,67-64-1,-0.24
CC(C)=O,67-64-1,-0.24
CS(=O)C,67-68-5,-1.35
[H]OS(=C([H])[H])C([H])([H])[H],67-68-5,-1.35
CS(O)=C,67-68-5,-1.35
[H]C([H])([H])S(=O)C([H])([H])[H],67-68-5,-1.35
CS(C)=O,67-68-5,-1.35
O=C1C(=CC(=O)C(=C1N1CC1)N1CC1)N1CC1,68-76-8,-0.13
[H]C1=C(N2C([H])([H])C2([H])[H])C(=O)C(N2C([H])([H])C2([H])[H])=C(N2C([H])([H])C2([H])[H])C1=O,68-76-8,-0.13
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,68-76-8,-0.13
OC1=C2NC(=O)NC2=NC(=O)N1,69-93-2,0.18
[H]OC1=NC2=C(O[H])N=C(O[H])N=C2N1[H],69-93-2,0.18
[H]OC1=NC2=NC(O[H])=NC(O[H])=C2N1[H],69-93-2,0.18
[H]OC1=NC(O[H])=C2N([H])C(=O)N([H])C2=N1,69-93-2,0.18
OC1=NC(O)=C2NC(=O)NC2=N1,69-93-2,0.18
[H]OC1=NC2=C(N=C(O[H])N([H])C2=O)N1[H],69-93-2,0.18
OC1=NC2=C(N1)N=C(O)NC2=O,69-93-2,0.18
[H]OC1=NC2=C(N1[H])C(=O)N([H])C(O[H])=N2,69-93-2,0.18
[H]OC1=NC2=C(N1[H])C(=O)N([H])C(=O)N2[H],69-93-2,0.18
OC1=NC2=C(N1)C(=O)NC(=O)N2,69-93-2,0.18
[H]OC1=NC2=C(N1[H])N([H])C(=O)N([H])C2=O,69-93-2,0.18
OC1=NC2=C(N1)NC(=O)NC2=O,69-93-2,0.18
[H]OC1=NC2=C(N1[H])C(=O)N=C(O[H])N2[H],69-93-2,0.18
OC1=NC2=C(N1)C(=O)N=C(O)N2,69-93-2,0.18
[H]OC1=NC2=C(N1[H])N([H])C(O[H])=NC2=O,69-93-2,0.18
OC1=NC2=C(N1)NC(O)=NC2=O,69-93-2,0.18
[H]OC1=NC2=C(N1[H])N([H])C(=O)N=C2O[H],69-93-2,0.18
OC1=NC2=C(N1)NC(=O)N=C2O,69-93-2,0.18
[H]OC1=NC2=C(N1[H])C(O[H])=NC(=O)N2[H],69-93-2,0.18
OC1=NC2=C(N1)C(O)=NC(=O)N2,69-93-2,0.18
[H]N1C(=O)N([H])C2=C1N([H])C(=O)N([H])C2=O,69-93-2,0.18
O=c1[nH]c(=O)[nH]c2c1[nH]c(=O)[nH]2,69-93-2,0.18
O=C1NC(=O)NC2=C1NC(=O)N2,69-93-2,0.18
O=C1NC(=O)NC2NC(=O)NC1=2,69-93-2,0.18
O=C1NC2=C(N1)C(=O)NC(=O)N2,69-93-2,-2.17
